,id,name,state_id,id,name,country_id,id,sortname,name,phonecode
0,18316,Aalen,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
1,18317,Achern,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
2,18318,Aichtal,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
3,18319,Albstadt,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
4,18320,Aldingen,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
5,18321,Allmersbach,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
6,18322,Alpirsbach,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
7,18323,Altensteig,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
8,18324,Altlussheim,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
9,18325,Ammerbuch,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
10,18326,Appenweier,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
11,18327,Asperg,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
12,18328,Backnang,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
13,18329,Bad Durrheim,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
14,18330,Bad Friedrichshall,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
15,18331,Bad Krozingen,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
16,18332,Bad Liebenzell,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
17,18333,Bad Mergentheim,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
18,18334,Bad Rappenau,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
19,18335,Bad Sackingen,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
20,18336,Bad Schonborn,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
21,18337,Bad Urach,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
22,18338,Bad Waldsee,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
23,18339,Bad Wurzach,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
24,18340,Baden-Baden,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
25,18341,Bahlingen,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
26,18342,Baiersbronn,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
27,18343,Balgheim,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
28,18344,Balingen,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
29,18345,Ballrechten-Dottingen,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
30,18346,Besigheim,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
31,18347,Biberach,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
32,18348,Bietigheim-Bissingen,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
33,18349,Binzen,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
34,18350,Birkenfeld,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
35,18351,Bisingen,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
36,18352,Bitz,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
37,18353,Blaubeuren,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
38,18354,Blaustein,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
39,18355,Blumberg,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
40,18356,Boblingen,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
41,18357,Bodelshausen,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
42,18358,Bonndorf,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
43,18359,Bonnigheim,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
44,18360,Bopfingen,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
45,18361,Bottingen,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
46,18362,Brackenheim,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
47,18363,Breisach,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
48,18364,Bretten,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
49,18365,Bretzfeld,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
50,18366,Bruchsal,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
51,18367,Bruhl,1355,1355,Baden-Wurttemberg,82,82,DE,Germany,49
